0Sale_ID,age,price,pas,wtop,fixgear,tdrag,horse,fuel,ceiling,cruise
258,20,67000,4,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
259,20,76000,4,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
260,19,77000,4,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
261,19,88000,4,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
262,18,91500,4,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
263,18,102500,6,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
264,17,110000,6,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.7535901911063645
265,17,123000,6,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.7535901911063645
266,16,135000,6,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.7535901911063645
267,16,150000,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
268,21,112500,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
269,20,119000,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
270,19,130000,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
271,18,160000,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
272,17,177501,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
273,14,154000,6,0,1,0,5.351858133476067,3.7612001156935624,9.48044384215367,4.74493212836325
274,13,177501,6,0,1,0,5.017279836814924,3.912023005428146,9.392745258631441,4.736198448394496
275,22,74000,6,0,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.718498871295094
276,21,82000,6,0,1,0,5.081404364984463,4.060443010546419,9.179984251961283,4.718498871295094
277,20,95000,6,0,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.6913478822291435
278,19,115000,4,0,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.6913478822291435
279,18,134001,4,0,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.6913478822291435
280,17,158000,6,0,1,0,5.017279836814924,4.060443010546419,9.179984251961283,4.6913478822291435
281,20,70500,6,0,1,0,5.017279836814924,4.060443010546419,9.179984251961283,4.6913478822291435
282,20,75000,6,0,1,0,5.017279836814924,4.060443010546419,9.179984251961283,4.6913478822291435
283,20,83000,6,0,1,0,5.017279836814924,4.060443010546419,9.179984251961283,4.6913478822291435
284,19,73000,6,0,1,0,5.017279836814924,4.060443010546419,9.179984251961283,4.6913478822291435
285,19,76000,6,0,1,0,5.351858133476067,3.6375861597263857,9.48044384215367,4.6913478822291435
286,19,87500,6,0,1,0,5.351858133476067,3.6375861597263857,9.48044384215367,4.6913478822291435
287,19,95500,6,0,1,0,4.709530201312334,3.6888794541139363,9.04793908261736,4.68213122712422
288,18,81000,6,0,1,0,4.709530201312334,3.6888794541139363,9.04793908261736,4.68213122712422
289,18,88500,6,0,1,0,4.709530201312334,3.6888794541139363,9.04793908261736,4.68213122712422
290,18,100000,6,0,1,0,4.709530201312334,3.6888794541139363,9.04793908261736,4.68213122712422
291,18,108000,6,0,1,0,4.709530201312334,3.6888794541139363,9.04793908261736,4.68213122712422
292,17,83000,6,0,1,0,4.6913478822291435,3.6888794541139363,9.04793908261736,4.672828834461906
293,17,104000,6,0,1,0,4.7535901911063645,3.4011973816621555,9.04793908261736,4.584967478670572
294,17,112000,6,0,1,0,4.7535901911063645,3.4011973816621555,9.04793908261736,4.584967478670572
295,17,120000,6,0,1,0,4.7535901911063645,3.4011973816621555,9.04793908261736,4.584967478670572
